Geneid	HMEC_C3
114819	45
26871	26
100126512	19
100126517	0
102724970	0
100133301	0
7195	5
55672	210
84809	123
11209	26
26869	12
729574	0
100126533	11
284729	0
100189045	1
102723383	0
6060	6
11223	5
100500876	0
100189298	10
7193	8
791226	0
9696	101
26870	37
4237	149
23400	613
6390	2489
11240	27
29943	17
51702	28
100616188	0
23569	0
353238	0
55920	1374
55160	134
81569	7
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	154
100616120	0
100302276	0
126917	174
23352	4094
23065	2495
51154	509
246181	5
22977	11
100506730	21
8574	1133
54896	331
832	2631
100532736	0
440574	259
644068	21
4681	29
3362	3
255104	115
54546	0
23252	178
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	2
101928017	0
127731	0
339505	0
55450	345
79594	352
163933	5
978	976
65018	1147
102464833	0
100861548	38
1650	3230
57576	11
400745	105
50809	3072
8672	1140
100302155	0
1889	2908
100506801	12
84224	181
249	1
5909	10
84196	672
401944	4
3339	955
23436	0
10136	0
101928043	3
29092	113
998	7812
54361	8
100616433	0
9923	232
2046	0
102466615	0
712	0
714	0
713	0
2048	311
100616391	0
100422914	0
646262	0
729059	14
23028	1539
100422866	0
100616177	1
7798	1410
3352	11
100996511	79
10236	953
80818	525
148898	88
6920	9
55616	1548
1870	13
101928163	0
3399	1074
259283	0
6135	14086
6924	553
100506963	28
57095	811
11313	761
2582	1047
3155	757
2517	190
1269	0
100616492	0
55629	1474
10772	1543
127294	15
58985	10
163702	49
284632	0
57822	4
90529	111
57185	630
100750325	0
11123	530
100506985	164
400746	0
10250	736
25932	23546
864	16
102465437	0
100616365	0
25949	299
57035	1046
6007	13
23585	472
6006	55
55219	780
26119	441
57134	1
57190	1128
56181	495
646471	18
79000	120
164091	566
3925	844
100500808	0
5051	234
2134	2
7780	0
105376910	0
84676	0
149420	156
79927	0
105376887	0
51042	72
10256	5
378807	0
101928303	0
64793	743
83442	3801
91544	86
1043	0
55057	0
257101	0
79727	0
79947	674
101928324	5
3151	4184
6195	626
100302190	0
101928728	33
8289	682
55650	414
84243	426
2810	424
54707	504
63906	66
10726	658
8431	0
126695	0
388610	810
115572	285
6548	114
23038	514
84065	430
644961	15
100887744	0
84958	11
9064	682
8547	0
388611	0
2827	121
10163	1662
27245	81
2268	1
2537	498
199870	283
23673	1614
5511	759
677774	3
9473	340
6118	425
27293	0
55113	369
2140	501
5724	1
22826	1980
93974	90
83667	160
54797	376
65979	240
1104	728
8420	493
6080	1035
26768	2169
54952	301
85028	370
692212	16
677838	33
677825	17
692073	66
115273	7
6883	749
26824	180
10691	170
105376911	0
51441	1028
4985	0
2035	126
399474	275
6429	573
51102	78
10076	186
101928460	1
101929406	0
4146	2
100129196	27
7805	59
100616164	0
400748	0
9672	758
9698	1672
692234	0
692235	2
692200	6
79570	27
9410	716
51538	687
2170	19
347735	71
149086	0
284551	0
64129	382
3061	9
553115	1311
1307	538
576	102
100423028	0
90853	1093
8073	2680
10657	2839
55116	222
100847018	0
23633	3108
200081	1118
79140	144
56063	79
55721	50
149069	12
8668	2557
339483	38
84734	2
3932	0
3065	518
65108	277
100128071	14
81629	25
55108	1005
728116	0
653121	282
339487	473
5928	1478
81493	323
57648	146
8565	806
64766	569
252995	14
3208	2
113452	328
127544	650
204	1739
113451	137
55223	86
149076	180
127550	5
1912	3353
100500853	4
101929464	3
7579	203
114784	1
127540	0
402779	0
84970	0
693137	0
2709	0
127534	0
2707	0
2701	0
113444	202
58512	1
653160	11
100506144	368
9204	444
79830	1080
6421	3128
9202	760
79932	648
23154	555
339488	16
5690	2468
127703	103
63967	94
192670	336
26523	488
192669	1007
27285	0
54936	445
1296	237
27095	299
55700	1221
9967	682
79729	75
55194	1963
83931	73
84967	116
127700	200
64960	802
1441	0
2899	0
100422898	0
728431	44
80149	763
102465438	2
64769	937
100847010	3
79753	254
7802	3
29889	1451
284654	0
54955	373
55143	443
284656	0
149175	248
79693	727
127687	895
4520	391
3633	116
10946	1176
2275	59
51118	782
5453	0
100500801	0
339442	0
64121	479
100527950	0
26292	1
81025	0
54933	9
79647	1648
4725	2379
23499	4605
643314	574
105378950	4
353500	6
728448	5
8761	2715
101929516	10
677834	3
26508	0
84618	0
51440	1
10450	929
656	30
64064	0
105378951	0
101929536	0
54802	261
4610	2
84879	877
10487	15790
5538	1057
6018	1003
127391	0
10269	1473
1298	71
64744	743
65243	162
339559	87
64789	12
127396	60
9783	5
100130557	13
4802	309
407034	0
407031	0
9132	0
163732	1340
1503	1234
100507178	26
200172	15
22955	302
100132074	0
1907	1
59269	230
2981	0
2980	0
22887	1130
284716	0
84217	9
79717	330
728621	7
10465	290
4904	2903
149461	0
64175	2579
79078	179
100129924	6
374969	141
114625	104
51058	73
339539	0
6513	2590
440584	8
105378684	0
440585	3
10969	1525
102465439	0
149465	10
128218	0
149466	1
7075	19
4352	8
991	1651
64834	625
102466723	0
112950	531
23334	478
102465440	0
81888	13
5792	809
9682	406
100132774	21
6487	453
101929592	3
102464830	2
9048	99
9670	760
1802	404
533	2541
8704	2222
149473	84
6536	107
128209	19
105378952	0
55929	165
79033	854
100874278	7
55182	583
100847089	0
79639	94
339541	6
26828	209
26830	15
11004	1654
6202	28633
26811	146
94161	39
94162	1
94163	7
266675	21
1263	351
343521	12
149478	62
8643	30
8891	422
79654	359
7389	2727
57643	81
400752	13
84842	11
4595	159
114034	230
10420	153
126661	53
25974	86
5052	7537
10327	965
4678	183
149483	13
60313	2675
728963	6
51249	418
3652	184
23139	445
8503	157
101929626	0
10103	6
55624	1551
541468	12
8438	85
10489	2091
7388	2619
387338	212
2166	12
729041	0
101929651	0
127343	0
100507423	7
148930	0
8569	158
148932	142
64756	543
374973	0
100130197	1
9813	2850
1580	0
163720	0
1579	0
260293	0
199974	0
284541	0
100874253	2
10158	4
6886	2
6491	550
51727	5460
102724077	9
2301	0
84793	7
2306	23
388630	0
391037	0
200010	2
54558	23
84871	0
79656	0
101929721	0
100874313	0
1996	0
63950	0
11124	1273
1031	97
100616189	0
102466656	0
284546	0
26994	3760
22996	15
102724097	0
2060	2058
114883	2099
4898	2973
100313892	0
5865	1651
51060	1302
112970	0
104355143	6
91408	1276
9372	964
200014	444
4998	78
84950	128
23318	483
105378722	2
2882	0
348378	0
65260	250
79699	1179
440590	0
55268	48
6342	1343
100616156	0
100616458	0
100616145	0
127435	0
6512	0
1376	602
54987	619
4116	204
100507564	5
7804	1062
163742	0
63948	0
148979	116
105369175	39
55706	1336
54432	355
1733	3
51668	872
115353	615
388633	0
9528	3950
127428	136
100616315	0
200008	0
606495	31
51253	669
23648	102
619518	13
26027	29
338094	0
374977	0
100527960	0
7268	19
25973	84
55001	0
163747	4
1718	2039
100126514	0
199964	6
7809	0
255738	1
23358	1223
100507634	3
100616272	0
8613	265
5563	30
199920	2
731	0
732	0
1600	1
101926890	0
115209	256
4070	695
114803	269
3725	1026
100131060	3
101926925	25
729467	8
55277	188
100616409	0
101926944	0
51361	1
1573	1
127795	0
101926964	0
100996570	0
4774	185
645030	5
414927	0
83941	426
10207	243
100422902	0
100422946	0
54596	0
163782	2
7398	985
85440	1236
27329	14
84938	169
199899	0
100996301	10
27022	0
102464823	0
29929	287
23421	404
84455	165
79469	1
5236	1118
4919	2
101927034	0
148581	0
57685	116
100616338	0
55225	414
3716	5369
101927084	0
105378775	2
100500854	0
406893	0
205	512
9829	145
54741	1369
3953	648
5142	2871
101927139	0
84251	16
100422871	0
200132	0
10022	0
79819	81
57708	1259
23169	746
400757	0
149233	0
3595	2
26135	1587
1647	67
55970	9815
100289178	19
9077	22
79971	119
100302279	0
6121	0
55635	1634
101927220	1
57554	7
5301	0
55631	489
9295	1933
81573	910
11147	59
1491	138
101927244	0
5733	0
100132618	27
9406	959
406962	14
100852410	0
257194	108
100852409	0
101927295	0
127255	24
100526835	2
8790	168
51086	0
105378804	0
105378803	0
127254	0
101927320	0
1429	242
127253	258
431707	0
204962	1
34	336
1744	6
5876	1811
692085	34
26805	28
26804	14
4438	2
127247	0
101927342	0
256435	0
81849	13
102466995	0
10026	2425
26289	1440
26009	2319
23032	1999
374986	1274
374987	29
91624	161
8880	639
11080	351
54810	4
149047	2
5737	989
10964	46
10561	51
64123	0
101927412	0
23266	350
101927434	0
101927498	0
101927587	0
101927560	0
79739	125
5567	501
148418	20
391051	0
58511	0
80135	539
2787	817
100505741	24
1486	479
103695366	5
439927	0
117178	213
23566	335
255231	8
55283	0
126820	2
100616481	0
84144	4
148423	337
8915	480
646626	5
23576	1302
3491	933
54680	242
255631	0
57489	387
102465842	0
9635	0
1179	0
22802	0
9629	0
105378828	3
51100	2535
9403	2044
9653	847
339524	0
101927844	0
105378832	2
8543	1027
100505768	0
101927891	2
5586	1271
2959	379
56267	959
494115	405
2635	497
2633	141
2634	92
388646	4
115361	0
115362	12
729930	0
163351	0
400759	0
23507	39
84230	889
400761	6
55144	771
105378846	11
492303	6
284695	122
343472	0
84146	1211
164045	0
8317	120
7049	205
676	0
253152	91
646817	0
284697	20
23285	130
388649	0
11146	165
79871	421
2672	20
7813	594
6125	17309
388650	291
6083	2
26782	13
22823	150
50999	2807
343099	162
100131564	83
1810	2095
54874	869
100126520	0
8412	2993
100129046	34
100126348	17
100189133	10
30836	747
2730	1521
24	13
9411	2908
5825	1353
2152	9917
101928079	15
100616321	0
126969	28
1266	2548
105378862	10
729970	15
199857	87
101928098	5
148534	14
100527978	5
101928118	0
25950	74
440594	0
100996635	0
102723661	0
101928241	0
58155	253
1806	1558
100873932	5
100873933	2
400765	5
100616452	1
406928	0
729987	0
51375	340
163404	1
100129620	0
9890	0
101928270	0
54873	1
391059	53
178	584
23443	492
64645	2367
163786	179
54482	174
127495	12
1629	662
100506007	4
8634	614
693138	1
8556	104
54112	0
100128787	2
7412	0
2135	410
148867	2403
51611	303
102606465	69
101928334	0
101928370	0
1901	7
104355286	0
118427	0
94236	0
1301	0
101928436	0
55599	92
280	4
648740	0
279	0
276	0
277	0
278	0
100129138	0
101928476	0
55170	95
22854	333
10451	453
102465839	0
100873946	3
29957	2579
148545	0
653149	0
284611	990
