Geneid	HMECPIT1_1
55283	0
126820	10
100616481	0
84144	3
148423	289
8915	518
646626	6
23576	1731
3491	1441
54680	236
255631	0
57489	415
102465842	0
9635	0
1179	0
22802	0
9629	0
105378828	7
51100	2742
9403	2337
9653	805
339524	3
101927844	0
105378832	0
8543	1226
100505768	0
101927891	2
5586	1435
2959	411
56267	826
494115	422
2635	655
2633	266
2634	91
388646	0
115361	0
115362	8
729930	0
163351	0
400759	0
23507	29
84230	971
400761	7
55144	793
105378846	0
492303	12
284695	97
343472	0
84146	1246
164045	4
8317	192
7049	190
676	0
253152	76
646817	1
284697	19
23285	117
388649	0
11146	157
79871	484
2672	6
7813	577
6125	17491
388650	313
6083	4
26782	20
22823	171
50999	3062
343099	136
100131564	69
1810	2353
54874	787
100126520	0
8412	3463
100129046	28
100126348	14
100189133	4
30836	857
2730	1451
24	8
9411	3674
5825	1528
2152	17037
101928079	7
100616321	0
126969	28
1266	3189
105378862	11
729970	12
199857	97
101928098	1
148534	7
100527978	5
101928118	1
25950	83
440594	0
100996635	0
102723661	0
101928241	0
58155	339
1806	1579
100873932	3
100873933	1
400765	10
100616452	0
406928	0
729987	0
51375	409
163404	0
100129620	0
9890	0
101928270	0
54873	8
391059	81
178	639
23443	538
64645	2362
163786	154
54482	210
127495	4
1629	583
100506007	6
8634	679
693138	1
8556	96
54112	0
100128787	7
7412	0
2135	457
148867	2568
51611	309
102606465	73
101928334	0
101928370	0
1901	3
104355286	0
118427	0
94236	0
1301	0
101928436	0
55599	93
280	4
648740	0
279	0
276	0
277	7
278	1
100129138	1
101928476	0
55170	110
22854	343
10451	475
102465839	0
100873946	0
29957	2990
148545	0
653149	0
284611	1072
113802	18
55119	242
163479	0
6814	484
254268	6
642864	0
29899	662
23155	381
22911	418
6884	332
56900	1189
677766	9966
127003	2
57535	1
6301	1302
1952	16
84722	213
343263	0
6272	10
5686	1314
284612	0
127002	20
284613	29
57463	5
83873	0
2773	2788
406974	1
2780	17
271	974
2948	47
2946	10
2944	0
2949	0
2947	55
79574	0
1435	76
10768	1887
85369	237
257	12
104355139	0
164153	0
388662	1
100873974	0
3749	115
440600	5
64783	423
9122	1738
10542	544
101410535	0
84432	0
643160	0
440602	0
3744	0
3737	0
3738	0
963	0
55791	503
128338	853
10390	501
79961	9
1117	0
149620	0
27159	0
128344	1
441897	1
5016	5
79084	267
515	3691
128346	14
57413	0
140	0
100129269	0
5906	645
55924	50
100506343	14
101928718	6
11218	438
3752	0
100874295	0
100873995	0
643355	0
55917	362
100422976	0
7482	22
54879	192
829	6445
4343	396
389	2459
333926	24
284467	6
100996702	42
6566	1659
246182	6
100506392	40
100996251	2
9860	400
643441	0
260425	279
10745	346
54665	472
100287722	8
26191	478
440603	3
10717	272
64858	145
101928846	0
204851	1056
56944	741
148281	13
51592	847
10286	614
163259	17
270	0
4893	2915
7812	7626
80143	1069
6847	0
7252	0
10100	0
4803	38
81839	847
845	0
4808	2
101928995	0
101928977	4
55356	103
126868	3
476	1451
84852	14
101929023	0
965	184
100616384	0
3321	102
100302117	0
388667	0
914	0
5738	969
9398	4
101929099	2
8458	348
100126331	0
80263	56
79679	1
104355292	0
10905	1119
100996263	0
54855	58
54834	546
10885	692
200162	2
6913	25
10352	235
104472716	1
101929147	10
51179	0
100874270	0
3284	0
3283	0
128102	13
644242	40
90874	391
26227	400
3158	0
83998	0
343505	0
11085	0
4853	6585
9554	1657
105378954	3
728841	443
767846	8
100996724	346
101929796	102
101060684	172
100189005	12
101954277	57
653505	0
728855	8
101954264	6
100189257	0
105369199	0
100996721	0
100126488	6
101929798	0
2210	0
100996318	0
337875	0
653820	110
653464	373
100873165	4
647121	6
101929815	0
100189261	0
101954269	0
26863	35
791227	0
105369140	0
388692	0
100189142	0
100189326	0
199882	0
100189356	0
100132417	0
100996713	0
554282	1
