Geneid	HMECPIT1_3
5993	1554
8991	0
5692	9216
23126	1442
57530	0
7286	43
693139	0
81609	1007
11189	5
284485	0
65005	712
51686	23
11022	157
339398	0
6097	1
100191040	0
100132111	1
284486	0
117145	275
6281	6009
441908	0
6282	3204
100131107	0
126637	0
7062	0
126638	0
388697	0
2312	5
339400	1
388698	0
49860	0
254910	0
54544	0
353145	0
84648	0
353144	0
353143	0
353142	0
353141	0
353140	0
26239	0
353139	0
199834	0
100129271	0
448834	0
353137	0
353135	0
353134	0
353133	0
353132	0
353131	0
448835	0
4184	0
3713	0
163778	0
6698	0
6707	0
6699	0
6703	1
6700	0
6701	0
6704	0
6705	0
6702	0
6706	0
101928009	0
149018	0
574414	0
4014	0
114771	0
57115	0
6280	293
6283	1
6279	142
338324	0
645922	0
6278	7
6277	48508
6276	23
6275	1431
101928034	7
6274	124
6273	624
140576	10841
57402	2
6284	3546
6271	6
26097	285
23557	636
3608	4740
100189015	0
4881	84
102466879	0
65123	11
11000	3
343052	0
105371448	0
57459	17
9909	558
200186	270
27173	3101
102465441	0
148327	157
10899	2325
5872	1876
6232	22038
91181	24
100847024	0
7170	8021
100126346	0
388701	2
25912	1124
9898	1970
10456	2622
89872	0
57198	650
3570	260
126669	0
126668	0
55585	483
100874097	3
1141	17
103	4183
3782	17
10654	101
57326	239
90780	591
101928120	12
6464	8220
1163	1625
100423020	4
80308	481
55891	5
51043	279
127579	0
149095	3
100505666	17
8751	1719
1945	183
1944	23
1942	20
55974	1633
54344	1401
200185	919
80128	39
4582	25
693235	2
7059	155
4580	465
2630	4
2629	28
10712	0
10067	0
1196	0
57657	0
5313	0
2224	4293
284618	4
23623	419
55870	1982
693140	0
645682	9
645676	60
55154	107
55249	644
7818	2437
100129405	37
54856	569
23208	592
6016	992
22889	553
677823	3
677771	2
339403	10
9181	1148
102465442	0
105371729	0
6746	6974
56893	396
28956	417
57111	1
92312	69
4000	13766
64218	14
9673	302
11243	344
100527963	3
632	3
79957	72
23381	2458
84283	116
112770	773
391104	1
7203	8345
128229	4
57127	0
10485	0
407046	0
4209	576
128239	956
164118	0
128240	2099
54865	221
101928177	0
60484	1
63827	3
10763	32
1382	14
81875	707
51093	295
79590	789
3068	13434
5546	521
9047	121
4914	6
3645	6
375033	146
149499	2
9826	503
768220	1
440695	0
2117	591
360155	1
83416	0
83417	0
115352	0
79368	0
